body,title,url
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",,https://elcomercio.pe/tecnologia/actualidad/malware-como-servicio-herramientas-para-ciberataques-por-menos-de-us-10-ciberseguridad-cibercriminales-espana-mexico-colombia-noticia/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",Residente y muchos más artistas llegan al Taytakunan Festival,https://elcomercio.pe/desde-la-redaccion/residente-y-muchos-mas-artistas-llegan-al-taytakunan-festival-noticia/
"Licenciado en Ciencias de la Comunicación de la USMP.  Cursa el cuarto ciclo de la maestría de Periodismo y Comunicación Multimedia en la misma casa de estudios. Desde el 2010 trabaja en El Comercio. Fue coordinador de Contenido Digital de Política (2016-2018).  Fact checker de la página ""La Posverdad de la Política"". ",,https://elcomercio.pe/autor/sebastian-ortiz-martinez/
16/07/2022 _ 18:41,,https://elcomercio.pe/economia/dia-1/
"Entregó textos al filo del cierre en el suplemento Domingo del diario La República, el semanario Hildebrandt en sus Trece, el portal Salud con Lupa y los diarios deportivos Depor y Líbero. Fundador de la revista digital Sudor. Benditos (Magreb, 2018) y Largo aliento (Universidad Continental, 2019). Cuando no lee ni escribe, baila. Timba y salsa. ",,https://elcomercio.pe/autor/renzo-gomez/
Estudiante de periodismo por la Universidad Jaime Bausate y Meza. Amplio interés en temas sociales y derechos humanos.,,https://elcomercio.pe/autor/abby-ardiles/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",,https://elcomercio.pe/economia/dia-1/cuales-seran-los-retos-y-riesgos-de-los-ceo-en-el-futuro-estudio-ey-ceo-outlook-2022-director-ejecutivo-noticia/
/ OpiniónBasada en la interpretación y juicio de hechos y datos hechos por el autor.,,https://elcomercio.pe/opinion/editorial/editorial-el-enredo-del-ministro-gonzalez-editorial-mariano-gonzalez-pedro-castillo-zamir-villaverde-mininter-noticia/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",La pelota al travesaño: ‘Pipa’ Benedetto falló penal en Boca Juniors vs. Talleres | VIDEO,https://elcomercio.pe/deporte-total/futbol-mundial/penal-benedetto-en-boca-juniors-vs-talleres-hoy-pipa-benedetto-fallo-penal-y-se-perdio-el-gol-del-1-0-para-boca-ante-talleres-por-liga-profesional-de-argentina-video-ar-rmmd-noticia/
"Associated Press es una cooperativa de noticias independiente, sin fines de lucro, con más de 170 años de antigüedad y con sede en la ciudad de Nueva York. Cuenta con presencia en más de 100 países.",,https://elcomercio.pe/autor/agencia-ap/
/ Entrevista,,https://elcomercio.pe/economia/dia-1/teleticket-hay-un-efecto-rebote-nunca-antes-visto-un-crecimiento-brutal-de-30-por-los-grandes-conciertos-entrevista-luis-gonzalez-espectaculos-entradas-transformacion-colas-virtuales-eventos-conciertos-noticia/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",Congreso retrocede tras poner en riesgo Asamblea de la OEA en Lima: el impacto de la decisión inicial sobre los baños neutros,https://elcomercio.pe/politica/congreso-retrocede-tras-poner-en-riesgo-asamblea-de-la-oea-en-lima-el-impacto-de-su-decision-inicial-noticia/
